iterations,fitness,time
0,161.0,0.005387965
10,167.0,0.011091154
20,176.0,0.017848704
30,172.0,0.023522142
40,174.0,0.029068906
50,179.0,0.034796658
60,180.0,0.040312078
70,186.0,0.045808081
80,186.0,0.054977768
90,191.0,0.0613917
100,189.0,0.068106302
110,205.0,0.073705736
120,200.0,0.079541536
130,200.0,0.085823456
140,202.0,0.091234631
150,209.0,0.097475549
160,214.0,0.103324025
170,220.0,0.108731982
180,217.0,0.114065927
190,225.0,0.119261665
200,226.0,0.124397704
210,226.0,0.129625946
220,233.0,0.134688409
230,247.0,0.141123738
240,239.0,0.146361529
250,245.0,0.151555971
260,241.0,0.156792758
270,245.0,0.162360489
280,250.0,0.168149815
290,256.0,0.173793341
300,252.0,0.181557413
310,258.0,0.186750172
320,268.0,0.192069694
330,263.0,0.197128597
340,267.0,0.202507232
350,268.0,0.207529287
360,273.0,0.212592048
370,272.0,0.217398265
380,272.0,0.223633558
390,271.0,0.228897213
400,271.0,0.237137711
410,282.0,0.242093153
420,272.0,0.246992812
430,276.0,0.252017807
440,281.0,0.257287111
450,283.0,0.263809819
460,282.0,0.269352974
470,281.0,0.274547137
480,281.0,0.279331032
490,281.0,0.2840567
500,286.0,0.288847951
510,287.0,0.293841063
520,289.0,0.299297916
530,291.0,0.304967843
540,289.0,0.30989437
550,289.0,0.314643983
560,286.0,0.319274338
570,288.0,0.324003098
580,289.0,0.328653475
590,293.0,0.33331033
600,298.0,0.338070507
610,298.0,0.345416886
620,300.0,0.350786576
630,300.0,0.355916819
640,302.0,0.361164669
650,298.0,0.366737669
660,301.0,0.371470554
670,299.0,0.376092329
680,300.0,0.381416034
690,304.0,0.38720216
700,304.0,0.391979493
710,302.0,0.399490952
720,305.0,0.404223527
730,307.0,0.408933414
740,307.0,0.413503389
750,307.0,0.418236212
760,302.0,0.423679647
770,303.0,0.428579832
780,305.0,0.433417995
790,306.0,0.438177897
800,309.0,0.443756868
810,310.0,0.448566157
820,310.0,0.453445907
830,307.0,0.458755186
840,312.0,0.465667681
850,306.0,0.470560073
860,307.0,0.475034231
870,308.0,0.47949528
880,312.0,0.484153847
890,313.0,0.488682085
900,317.0,0.493172117
910,312.0,0.497763398
920,314.0,0.503204603
930,313.0,0.508453961
940,314.0,0.51319006
950,311.0,0.517712022
960,316.0,0.522414273
970,317.0,0.526924542
980,317.0,0.531502266
990,319.0,0.536236787
1000,321.0,0.542098519
1010,315.0,0.547851052
1020,317.0,0.553394216
1030,319.0,0.560514469
1040,320.0,0.565098193
1050,320.0,0.569621319
1060,321.0,0.574408284
1070,319.0,0.578920353
1080,317.0,0.583903816
1090,319.0,0.589334442
1100,319.0,0.59403174
1110,322.0,0.598567937
1120,316.0,0.603237598
1130,318.0,0.607718447
1140,319.0,0.612260314
1150,319.0,0.617023865
1160,320.0,0.621656085
1170,320.0,0.627514504
1180,323.0,0.632927473
1190,320.0,0.637490707
1200,322.0,0.64294716
1210,320.0,0.648113334
1220,320.0,0.652591151
1230,319.0,0.657373752
1240,321.0,0.662290556
1250,322.0,0.668735408
1260,322.0,0.673533734
1270,322.0,0.678163036
1280,323.0,0.682895019
1290,325.0,0.687318591
1300,325.0,0.69181223
1310,323.0,0.696466212
1320,325.0,0.700910761
1330,328.0,0.706387529
1340,324.0,0.711649196
1350,328.0,0.719755681
1360,328.0,0.724674117
1370,325.0,0.729868795
1380,330.0,0.734448947
1390,328.0,0.739863739
1400,327.0,0.744758693
1410,331.0,0.751665443
1420,331.0,0.756545803
1430,328.0,0.761162085
1440,325.0,0.765992195
1450,327.0,0.770606335
1460,329.0,0.775088842
1470,331.0,0.779754029
1480,333.0,0.784350279
1490,329.0,0.790018399
1500,330.0,0.7948838
1510,330.0,0.799456691
1520,329.0,0.804207929
