,train_acc,test_acc
10,0.8325,0.795
120,0.95875,0.84
230,0.97875,0.84
340,0.98875,0.845
450,0.99375,0.84
560,0.9975,0.86
670,1.0,0.86
780,1.0,0.86
890,1.0,0.86
1000,1.0,0.86
