,train_acc,test_acc
2,0.9225,0.83
3,0.94875,0.845
4,0.97875,0.85
5,0.99,0.845
6,0.99375,0.845
7,0.99625,0.86
8,0.99875,0.855
9,1.0,0.855
10,1.0,0.855
11,1.0,0.855
12,1.0,0.85
13,1.0,0.855
14,1.0,0.845
15,1.0,0.845
16,1.0,0.845
17,1.0,0.845
18,1.0,0.845
19,1.0,0.845
