,train_acc,test_acc
0.01,0.8425,0.815
0.055,0.92625,0.845
0.09999999999999999,0.94875,0.845
0.14500000000000002,0.9675,0.845
0.19,0.97,0.83
0.235,0.9775,0.835
0.28,0.9825,0.855
0.325,0.9875,0.845
0.37,0.99,0.835
0.415,0.99125,0.84
0.45999999999999996,0.9975,0.84
0.505,0.99875,0.85
0.55,0.9975,0.86
0.595,1.0,0.85
0.64,1.0,0.845
0.6849999999999999,0.99875,0.835
0.73,1.0,0.845
0.775,1.0,0.85
0.82,1.0,0.83
0.865,1.0,0.86
0.9099999999999999,1.0,0.845
0.955,1.0,0.865
1.0,1.0,0.85
