,train_acc,test_acc
0.01,0.7254166666666667,0.7188333333333333
0.055,0.7881666666666667,0.7743333333333333
0.09999999999999999,0.8047916666666667,0.7856666666666666
0.14500000000000002,0.814875,0.7966666666666666
0.19,0.8211666666666667,0.8003333333333333
0.235,0.8230833333333333,0.8011666666666667
0.28,0.829125,0.8066666666666666
0.325,0.83225,0.8048333333333333
0.37,0.8375,0.8055
0.415,0.8409583333333334,0.8061666666666667
0.45999999999999996,0.8435833333333334,0.805
0.505,0.8474166666666667,0.8045
0.55,0.847875,0.8073333333333333
0.595,0.8534583333333333,0.8051666666666667
0.64,0.8557083333333333,0.8095
0.6849999999999999,0.856875,0.805
0.73,0.8607083333333333,0.807
0.775,0.8620416666666667,0.8095
0.82,0.8634583333333333,0.8068333333333333
0.865,0.8675833333333334,0.8056666666666666
0.9099999999999999,0.8700833333333333,0.808
0.955,0.873375,0.8056666666666666
1.0,0.8726666666666667,0.8055
