iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.165899782689,0.16300753743,0.516,0.524,0.000898673999927
10,0.160720938986,0.158138671817,0.516,0.524,0.010185485
20,0.151194688313,0.148880802575,0.516,0.524,0.020280621
30,0.148971068597,0.146722771815,0.516,0.524,0.031723873
40,0.140889394253,0.139002815886,0.516,0.524,0.0407899400002
50,0.151175930392,0.148795039664,0.516,0.524,0.0502920780001
60,0.161058696189,0.158360184912,0.516,0.524,0.0603219530002
70,0.165566055428,0.162725706803,0.516,0.524,0.0698991410003
80,0.167436866905,0.164747272921,0.516,0.524,0.0788511980005
90,0.160737788839,0.158157668184,0.516,0.524,0.0879495020004
100,0.168963856175,0.166154967296,0.516,0.524,0.0967808220003
110,0.158462603303,0.155919822249,0.516,0.524,0.105769843
120,0.159595460478,0.157089188297,0.516,0.524,0.114572566
130,0.156201650918,0.153871485619,0.516,0.524,0.12362755
140,0.153254490653,0.151041364983,0.516,0.524,0.132378445
150,0.152244459554,0.150155107014,0.516,0.524,0.141535509
160,0.14559844364,0.143763288919,0.516,0.524,0.150519955
170,0.139184534206,0.137639419732,0.516,0.524,0.160797233
180,0.145436478287,0.143618532305,0.516,0.524,0.169672902
190,0.143355140941,0.141741075578,0.516,0.524,0.178765155
200,0.143347841921,0.141596838548,0.516,0.524,0.187763366
210,0.157286405271,0.154990766581,0.516,0.524,0.197725533
220,0.151245136213,0.149220591974,0.516,0.524,0.207824026
230,0.144567921198,0.142914402985,0.516,0.524,0.216997168
240,0.144225893626,0.142544179853,0.516,0.524,0.226414864
250,0.128525545497,0.127736963169,0.516,0.524,0.236643049
260,0.129411352468,0.128540733345,0.516,0.524,0.245919011
270,0.134757329165,0.133494267702,0.516,0.524,0.255115672
280,0.134237845112,0.133005150893,0.516,0.524,0.263975726
290,0.129323673833,0.12839001166,0.516,0.524,0.274005564001
300,0.127972414916,0.127223463361,0.516,0.524,0.283378734
310,0.125513078357,0.125125156746,0.516,0.524,0.292334286
320,0.125604766571,0.125218075795,0.516,0.524,0.301183155
330,0.125569546615,0.125190294403,0.516,0.524,0.311213085
340,0.125810157852,0.125380679,0.516,0.524,0.320136152
350,0.125314516858,0.124968348041,0.512,0.524,0.328997599
360,0.187841539577,0.189944263684,0.512,0.524,0.337948394
370,0.187057279089,0.189330134783,0.512,0.524,0.348119132
380,0.186881478098,0.189369488585,0.510666666667,0.524,0.356989279
390,0.188458588911,0.190480170112,0.510666666667,0.524,0.366428352001
400,0.171130946533,0.172143421706,0.510666666667,0.524,0.375275135
410,0.192077735215,0.193670799374,0.510666666667,0.52,0.384314254001
420,0.201662313377,0.197261765411,0.416,0.468,0.393110632001
430,0.205361332541,0.199352739853,0.416,0.468,0.402488455
440,0.21577414098,0.211094259881,0.401333333333,0.46,0.411465369
450,0.199646155433,0.195044879395,0.412,0.468,0.420952073001
460,0.200020699165,0.195373930189,0.413333333333,0.468,0.431454988001
470,0.202531474836,0.19852385451,0.418666666667,0.468,0.442387024001
480,0.203099116837,0.199214712397,0.418666666667,0.468,0.452278042001
490,0.203561534337,0.199462900463,0.42,0.468,0.461783685001
500,0.143346989851,0.143354777991,0.397333333333,0.4,0.470709673001
