iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.140448494897,0.141561795601,0.484,0.476,0.001041961
10,0.141332332108,0.143581543886,0.484,0.476,0.01004875
20,0.136304229618,0.138031642532,0.484,0.476,0.020460907
30,0.132024722538,0.134173255968,0.484,0.476,0.030771741
40,0.132464831161,0.135408248139,0.484,0.476,0.039842582
50,0.130258840133,0.132826221231,0.484,0.476,0.049101785
60,0.120338326576,0.123464852304,0.572,0.536,0.0591798750001
70,0.116207834798,0.120883280365,0.590666666667,0.556,0.0688636350001
80,0.116715523272,0.121438936011,0.597333333333,0.528,0.0778912630001
90,0.114908776163,0.119383057484,0.617333333333,0.552,0.0870273910001
100,0.114166883727,0.118527368152,0.613333333333,0.552,0.0963033770001
110,0.114158810167,0.1185250807,0.614666666667,0.556,0.105725803
120,0.113721374354,0.117901306204,0.621333333333,0.576,0.115244482
130,0.112270207427,0.115957004675,0.648,0.596,0.12475157
140,0.112305299648,0.115986738994,0.650666666667,0.592,0.133946545
150,0.110193911481,0.113395720547,0.677333333333,0.624,0.143206893
160,0.108490594346,0.112217985328,0.665333333333,0.604,0.152229842
170,0.105119647933,0.108631144749,0.712,0.684,0.161688118
180,0.103137038286,0.106651199776,0.746666666667,0.736,0.17109256
190,0.103096170062,0.106459966547,0.748,0.736,0.180350743
200,0.1030327149,0.106362411053,0.746666666667,0.736,0.189154473
210,0.10226436897,0.10527266519,0.774666666667,0.748,0.199483009
220,0.101841326027,0.104824848839,0.782666666667,0.748,0.209253353
230,0.101292922597,0.104262736658,0.776,0.76,0.21887046
240,0.10053871231,0.103112219031,0.776,0.76,0.228097651
250,0.100208303176,0.102795443045,0.777333333333,0.764,0.237927362
260,0.0998915946348,0.102386062467,0.768,0.756,0.247840704
270,0.0998933695601,0.102386062467,0.768,0.756,0.257043014
280,0.0995387160546,0.101794954108,0.766666666667,0.768,0.266305319
290,0.0986166762619,0.100626998429,0.788,0.764,0.277120101
300,0.0983924419447,0.100250216204,0.785333333333,0.764,0.286444703
310,0.0981439076073,0.099675299834,0.784,0.78,0.295819729
320,0.0910133674431,0.0910805229063,0.778666666667,0.804,0.30477582
330,0.0911179246605,0.0912896326875,0.78,0.796,0.314518096
340,0.0887336448338,0.0880550221734,0.777333333333,0.784,0.323720702
350,0.0856489138254,0.0846093438132,0.778666666667,0.772,0.333247417
360,0.0856483298879,0.0846093893382,0.778666666667,0.772,0.342242026
