iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.165593899075,0.16349232255,0.516,0.524,0.000906264000037
10,0.172983410394,0.17119872259,0.516,0.524,0.0105175050001
20,0.189053671252,0.18430002452,0.516,0.524,0.0206058780001
30,0.187118274824,0.183652029645,0.516,0.524,0.030134133
40,0.19122737802,0.188202164148,0.516,0.524,0.0390549339998
50,0.186685336317,0.183645888326,0.516,0.524,0.0482792789996
60,0.188358388192,0.18523512048,0.516,0.524,0.0574805589996
70,0.18736968512,0.184415909558,0.516,0.524,0.0663355759996
80,0.204565790207,0.201225270694,0.516,0.524,0.0752148269995
90,0.204156413557,0.200847645276,0.516,0.524,0.0844884299994
100,0.205580533198,0.202242993392,0.516,0.524,0.0947976849994
110,0.206114643923,0.20274339837,0.516,0.524,0.103749703
120,0.207453272812,0.204033278785,0.516,0.524,0.112612781999
130,0.205268000461,0.201920687844,0.516,0.524,0.122740683999
140,0.202789547303,0.199491373705,0.516,0.524,0.132280764999
150,0.202652986938,0.199357926029,0.516,0.524,0.141378290999
160,0.1990373257,0.195812337009,0.516,0.524,0.150254205999
170,0.198560292889,0.195343604289,0.516,0.524,0.159774071999
180,0.197106518907,0.193927922743,0.516,0.524,0.169001899999
190,0.195204330464,0.192063536873,0.516,0.524,0.177860293999
200,0.194635632513,0.191505085624,0.516,0.524,0.18679417
210,0.192832239209,0.189740159194,0.516,0.524,0.196002647
220,0.188092038771,0.185065140693,0.516,0.524,0.205450088
230,0.187690670704,0.184673475231,0.516,0.524,0.214633478
240,0.185109476285,0.1821535146,0.516,0.524,0.223633065
250,0.179040485673,0.176250125501,0.516,0.524,0.232819794
260,0.144493306484,0.142903833403,0.516,0.524,0.241585795
270,0.132035691477,0.131304633696,0.516,0.524,0.250393705
280,0.126946760661,0.127010064899,0.516,0.524,0.259132713
290,0.125893428937,0.126170020221,0.516,0.524,0.26779389
300,0.12777031334,0.127575493978,0.516,0.524,0.276566392
310,0.125541632878,0.125857336209,0.516,0.524,0.285295118
320,0.124648095462,0.125175189439,0.516,0.524,0.294280631
330,0.124268603185,0.124848615222,0.516,0.524,0.303381524
340,0.123666301578,0.12419134578,0.516,0.524,0.312230837
350,0.123654013534,0.124078435569,0.516,0.524,0.321047228999
360,0.122367951706,0.123379754728,0.604,0.564,0.330085000999
370,0.121507920922,0.12211101163,0.516,0.524,0.339006030999
380,0.121495373155,0.122113900071,0.516,0.524,0.347752671999
390,0.120737716635,0.121433897044,0.516,0.524,0.356525465999
400,0.120639911736,0.121485761532,0.516,0.524,0.365477376999
410,0.118894508258,0.120075996652,0.686666666667,0.68,0.374231974999
420,0.118225524441,0.119423643122,0.706666666667,0.7,0.383173406999
430,0.118178008852,0.119420559342,0.689333333333,0.684,0.391928797999
440,0.118037146091,0.119380013485,0.684,0.68,0.400771592999
450,0.116029286247,0.117462537411,0.684,0.664,0.409669343999
460,0.115173825409,0.116104319249,0.733333333333,0.744,0.418782345999
470,0.113576168893,0.114008274109,0.733333333333,0.76,0.427604743999
480,0.113480275948,0.113914802788,0.734666666667,0.76,0.437270971999
490,0.11350992593,0.113956543483,0.733333333333,0.76,0.445886593998
500,0.113207264273,0.113747041652,0.725333333333,0.756,0.454835243999
510,0.113207264261,0.113747041652,0.725333333333,0.756,0.463554110999
520,0.11314878004,0.113551853037,0.733333333333,0.756,0.472328617999
530,0.113046941365,0.113447417767,0.734666666667,0.76,0.481042764999
540,0.108516634561,0.108593137612,0.809333333333,0.804,0.489873606999
550,0.10474554476,0.104956499847,0.732,0.756,0.498657646999
560,0.0996179022817,0.0985731064569,0.786666666667,0.792,0.507551471999
570,0.0995788102411,0.0985307679916,0.785333333333,0.796,0.516275385998
580,0.0995129268226,0.0984853560518,0.78,0.788,0.525030761998
590,0.0995052436338,0.0984958550525,0.78,0.788,0.533765268998
600,0.0994363428794,0.098187895298,0.809333333333,0.812,0.542514738998
610,0.0985251121843,0.0972097094198,0.785333333333,0.8,0.551427250998
620,0.0985251121813,0.0972097094198,0.785333333333,0.8,0.560368622998
630,0.0984160634052,0.0971196581437,0.785333333333,0.804,0.569225630998
640,0.0954364284055,0.0942866064699,0.816,0.812,0.577972738998
