n_hidden,train_acc,test_acc,alpha
52,0.8174583333333333,0.7536666666666667,2
35,0.8397083333333333,0.7483333333333333,3
26,0.8320416666666667,0.7638333333333334,4
21,0.8200416666666667,0.7465,5
17,0.7955833333333333,0.7463333333333333,6
15,0.7934166666666667,0.7571666666666667,7
13,0.785625,0.7505,8
12,0.8178333333333333,0.7613333333333333,9
10,0.793125,0.7516666666666667,10
