,train_gini,test_gini,train_entropy,test_entropy
2,0.72375,0.685,0.68625,0.65
3,0.82,0.8,0.78625,0.775
5,0.8875,0.775,0.855,0.775
6,0.9275,0.795,0.9025,0.805
8,0.97125,0.8,0.95,0.785
9,0.97625,0.8,0.97375,0.81
11,0.9975,0.785,0.98875,0.83
12,0.9975,0.785,0.9925,0.83
14,1.0,0.79,0.99875,0.83
15,1.0,0.79,0.99875,0.835
17,1.0,0.79,1.0,0.825
18,1.0,0.79,1.0,0.825
20,1.0,0.79,1.0,0.825
21,1.0,0.79,1.0,0.825
23,1.0,0.79,1.0,0.825
24,1.0,0.79,1.0,0.825
26,1.0,0.79,1.0,0.825
28,1.0,0.79,1.0,0.825
