iterations,fitness,time
0,1.9904952895e-06,0.187941145
10,5545.11828478,0.363165743
20,5643.74812417,0.530821515999
30,6265.49311691,0.682608279999
40,6328.51281058,0.831189960999
50,6547.42466584,1.006315796
60,6756.7761036,1.152828904
70,7193.3882125,1.291433555
80,7252.95727352,1.423835515
90,7440.19371454,1.555567069
100,7250.10291301,1.675869333
110,7302.41192107,1.798180481
120,7389.26769869,1.917162778
130,7363.77866773,2.036950368
140,7298.45113138,2.157848154
150,7504.57572244,2.275916807
160,7540.61051258,2.39252806
170,7436.25368329,2.511732769
180,7310.03262799,2.627775831
190,7266.03492847,2.750701292
200,7360.63326949,2.873295665
210,7409.51983601,2.991945895
220,7214.11562509,3.112012395
230,7380.68851619,3.235930991
240,7413.17864403,3.35646464
250,7356.22196921,3.493563767
260,7347.53820518,3.611616379
270,7220.56966872,3.730383504
280,7166.41564982,3.850477728
290,7266.84739301,3.978080987
300,7437.03687356,4.09889655
310,7475.03754169,4.218899738
320,7260.23647277,4.337531306
330,7215.13461177,4.460938631
340,7397.82757549,4.598516263
350,7235.14292508,4.726411077
360,7503.43737664,4.845961987
370,7327.67148125,4.971123565
380,7327.6052556,5.09389101
390,7202.81434868,5.216037609
400,7255.11911642,5.336717918
410,7468.98820129,5.456647577
420,7266.89889213,5.581559696
430,7320.97005869,5.697414179
440,7274.06458213,5.816597247
450,7388.28316949,5.935839906
460,7281.24191185,6.054705631
470,7390.52132207,6.175100312
480,7222.15802708,6.295110665
490,7348.203438,6.41496110399
500,7338.92509571,6.53578190399
510,7237.43932813,6.65573211599
520,7499.94874157,6.77254541299
530,7304.48215317,6.89056802199
540,7354.3106485,7.01259117899
550,7327.71545122,7.12966537499
560,7325.95013982,7.24960656199
570,7259.70768401,7.36919291499
580,7228.0830825,7.49141994499
590,7302.74499182,7.614869481
600,7259.70768401,7.737348946
610,7362.46591778,7.867270235
620,7420.97797133,7.987893488
630,7400.83670223,8.110676996
640,7196.23585602,8.226182273
650,7261.61104448,8.346001783
660,7435.54371029,8.468049676
670,7342.45196565,8.58401251
680,7227.12449792,8.701873861
690,7323.53601564,8.825069635
700,7366.33558711,8.945057463
710,7602.56292675,9.061718506
720,7218.14180898,9.178462459
730,7294.49901326,9.301033966
740,7293.28743902,9.424320526
750,7502.4998711,9.544517488
760,7294.56975109,9.662642721
770,7247.47498823,9.778941711
780,7216.72246992,9.897514077
790,7497.40425581,10.017452936
800,7468.37627746,10.134941256
810,7377.72259212,10.254847704
820,7187.85469138,10.391443742
830,7529.73954514,10.517326818
840,7323.69667303,10.64205769
850,7420.85695788,10.769915851
860,7246.96676318,10.895068274
870,7230.2910531,11.013327178
880,7324.89358071,11.13272837
