iterations,fitness,time
0,6986.62187364,0.193514641
10,8351.42044631,0.394642389001
20,8832.44741798,0.570292293
30,8965.72633933,0.708164062999
40,9003.76643253,0.828663644999
50,8956.32540784,0.957214990001
60,8984.36749367,1.082932093
70,9003.76643253,1.209468791
80,8919.85290881,1.334343976
90,9003.76643253,1.460413476
100,8940.92433283,1.58617004
110,9003.76643253,1.707542587
120,8961.41538802,1.834317695
130,8984.36749367,1.96205798
140,9003.76643253,2.092636877
150,9084.04661457,2.221009421
160,8965.72633933,2.347776009
170,9029.37834097,2.470058733
180,8997.5171854,2.59091167
190,8965.72633933,2.716419647
200,9016.38492959,2.84296065
210,8984.36749367,2.967592201
220,9046.04178398,3.093519968
230,9046.04178398,3.226723408
240,8933.46439536,3.374413136
250,9012.23694903,3.497651209
260,8977.10533819,3.62675151199
270,9012.23694903,3.749640954
280,8977.10533819,3.873205357
290,8962.63293604,3.997696235
300,8987.22256034,4.121567639
310,9048.89685066,4.249208931
320,8978.87076913,4.374461526
330,8972.72420379,4.50485382101
340,8987.22256034,4.62970464901
350,9048.89685066,4.75327775501
360,9048.89685066,4.88237789701
370,8958.25180165,5.00426343901
380,8979.96040486,5.131500602
390,8930.45504439,5.253631117
400,9015.09201571,5.37521369501
410,8964.34614775,5.50436353401
420,8964.2704547,5.62884690701
430,9048.89685066,5.75438667801
440,8979.96040486,5.88128810401
450,8979.96040486,6.00357884301
460,8979.96040486,6.13107861901
470,8958.25180165,6.25600754501
480,8972.72420379,6.37793450301
490,9020.2329839,6.50312128901
500,9048.89685066,6.62405225101
510,8964.34614775,6.75056514401
520,9015.09201571,6.87169052601
530,8925.14083136,7.00002780601
540,8978.87076913,7.13916980701
550,8975.55100594,7.28520669101
560,8972.72420379,7.42171580401
570,8959.0099493,7.54673036701
580,9006.6214992,7.68032948701
590,8977.32935919,7.80385194101
600,8987.22256034,7.93957066401
610,8987.22256034,8.06863105501
620,9048.89685066,8.19346107501
630,9048.89685066,8.32113126101
640,8979.96040486,8.44493090901
650,9048.89685066,8.57259572801
660,8959.0099493,8.69476186901
670,8964.2704547,8.82731900601
680,8939.20119636,8.96355875601
690,8978.87076913,9.12063813901
700,8977.32935919,9.25421454001
710,8959.0099493,9.37688412401
720,9015.09201571,9.50209014201
730,8987.22256034,9.631682927
740,8975.55100594,9.75890730901
750,9015.09201571,9.886621275
760,8979.96040486,10.007745224
770,9015.09201571,10.137330169
780,9073.30224129,10.274053459
790,9015.09201571,10.405005283
800,8922.0707963,10.538762162
810,9048.89685066,10.666883423
820,8987.22256034,10.795387315
830,9006.6214992,10.93602022
840,8947.7291087,11.064511162
850,8945.17954681,11.190002309
860,8922.0707963,11.319518362
870,9015.09201571,11.445710693
880,8987.22256034,11.570412259
890,8979.96040486,11.696416419
900,9015.09201571,11.843916503
910,8958.66889887,12.011976828
920,8959.18047452,12.140408169
930,9015.09201571,12.26872334
940,8979.96040486,12.395324801
950,8959.18047452,12.524470858
960,9006.6214992,12.656967891
970,8977.32935919,12.781806613
980,9015.09201571,12.90629644
990,8975.55100594,13.033015646
1000,9048.89685066,13.162037641
1010,9006.6214992,13.295755361
1020,8964.2704547,13.421948448
1030,8979.96040486,13.545409377
1040,8960.13814646,13.667921605
1050,9006.6214992,13.791692784
1060,9048.89685066,13.919018823
1070,8977.32935919,14.042072479
1080,9048.89685066,14.167085245
1090,8965.48800272,14.303652791
1100,8964.2704547,14.429742653
1110,8975.55100594,14.554879613
1120,8933.491063,14.686993791
1130,8991.798447,14.87896443
1140,8947.7291087,15.009817378
1150,8966.37227487,15.142374128
1160,8987.22256034,15.26756582
1170,9048.89685066,15.393120695
1180,8975.55100594,15.515847645
1190,8932.08184618,15.644512974
1200,9015.09201571,15.800428236
1210,9048.89685066,15.966979169
1220,9006.6214992,16.090283371
1230,8987.22256034,16.217599476
1240,9048.89685066,16.348253672
1250,9048.89685066,16.47437899
1260,8964.2704547,16.602860061
1270,8979.96040486,16.723450152
1280,8972.72420379,16.845469238
1290,9006.6214992,16.971480126
1300,8938.51594523,17.093585519
1310,8978.87076913,17.221647108
1320,8964.34614775,17.340673976
1330,8975.55100594,17.466664034
1340,8977.32935919,17.598790219
1350,8977.32935919,17.754277589
1360,8965.48800272,17.921812978
1370,9048.89685066,18.046843652
1380,8959.0099493,18.17430503
1390,9015.09201571,18.29739906
1400,8964.34614775,18.420803615
1410,8965.48800272,18.550679588
1420,9048.89685066,18.684569347
1430,8975.55100594,18.823846389
1440,8977.32935919,18.948063239
1450,8959.18047452,19.072300615
1460,8979.96040486,19.196411585
1470,8987.22256034,19.323278197
1480,9048.89685066,19.453175795
1490,8978.87076913,19.579416287
1500,8954.64667832,19.706271603
1510,9015.09201571,19.830115187
1520,9048.89685066,19.961171498
1530,8965.48800272,20.088391156
1540,8959.0099493,20.217550108
1550,8977.32935919,20.352046956
1560,8972.72420379,20.496102763
1570,9048.89685066,20.638064525
1580,8968.581406,20.774220236
1590,8965.48800272,20.921640708
1600,8964.2704547,21.056267421
1610,8978.87076913,21.180793895
1620,8987.22256034,21.317182553
1630,9048.89685066,21.456268809
1640,8965.48800272,21.588394928
1650,8975.55100594,21.711866913
1660,8987.22256034,21.832960702
1670,8922.0707963,21.963482432
1680,8955.3990813,22.08533315
1690,8922.0707963,22.213899236
1700,8965.48800272,22.335201764
1710,8965.48800272,22.459601884
1720,8995.70293057,22.583498807
1730,9048.89685066,22.708620434
