iterations,fitness,time
0,2.05698014184e-06,0.177090728
10,5918.89869964,0.338466405
20,5757.23938468,0.477466124
30,5990.70096309,0.618771628
40,6432.30389159,0.758806761
50,6557.59232411,0.896363703999
60,6947.83022724,1.038735551
70,7452.81455696,1.193800391
80,7782.37219798,1.339037216
90,7916.69308727,1.465580648
100,7954.57164796,1.582502455
110,7870.4125435,1.69978236
120,7925.96570906,1.821962654
130,7971.1511922,1.947830381
140,7941.34460725,2.065865561
150,7878.72488615,2.192492402
160,7880.1387258,2.312408382
170,7929.62529018,2.428663932
180,7884.458779,2.551758996
190,7929.44628774,2.67784591
200,7923.56225508,2.824350212
210,7906.14383166,2.970052443
220,7944.08001251,3.160732103
230,7953.39506333,3.29844663
240,7955.6697073,3.430215037
250,7933.3682833,3.553513364
260,7841.71401776,3.672917385
270,7942.31253715,3.790437198
280,7913.2408491,3.91697432
290,8006.06756837,4.034608508
300,7923.48283863,4.150485359
310,7880.77573513,4.269549311
320,8073.15542066,4.388485641
330,7950.82270536,4.51141293
340,7926.74449388,4.625693096
350,7941.34460725,4.745133037
360,7858.07767638,4.862025884
370,7915.49613114,4.979261914
380,7941.34460725,5.096045165
390,7893.75849923,5.215931201
400,7947.26750039,5.336696233
410,7888.75068401,5.454695828
420,7974.49848665,5.58230931
430,7912.69843539,5.723024011
440,7874.25000581,5.86978344
450,7973.52973373,6.01453763
460,7960.95222384,6.141377043
470,7902.10617328,6.258861187
480,8004.41459627,6.377582884
490,7968.45839316,6.49381181
500,7844.53276097,6.609792758
510,7941.34460725,6.736020833
520,7922.3205969,6.857974393
530,7936.50633807,6.973566405
540,8061.50748446,7.097846732
550,7979.67581379,7.214899557
560,7959.50962606,7.332027498
570,7941.50215809,7.454016782
580,7933.29993627,7.568782663
590,7917.02577617,7.701612107
600,7820.51917726,7.823967387
610,7962.51519738,7.94500511
620,7923.15242688,8.062409514
630,7936.5413027,8.177788916
640,7986.219639,8.297048973
650,8073.95027579,8.422993423
660,7904.82859381,8.547390854
670,7891.25335213,8.663135383
680,7942.68876189,8.786748634
690,7975.96637914,8.905040646
700,8093.06793181,9.021325788
710,7815.53957458,9.142409378
720,7954.22913989,9.260723613
730,7917.88084521,9.377202049
740,7975.23939368,9.497404359
750,7922.39133794,9.617441516
760,7884.413031,9.739558692
770,7923.56225508,9.871808539
780,7933.52901083,10.01733621
790,7891.10893506,10.153277896
800,7812.76310941,10.275631055
810,7882.99033536,10.391179582
820,8018.78028647,10.516140953
830,8003.79473305,10.632325788
840,7878.69798909,10.749430821
850,7949.62828871,10.877149886
860,7926.00582938,10.997399467
870,7949.76397525,11.115647098
880,7925.03929858,11.233328486
890,8135.5834413,11.363996106
900,8046.65789223,11.496964699
910,7967.54610992,11.617081739
920,7928.30432978,11.73933978
930,7914.68453574,11.876726371
940,7893.38781455,12.021245646
950,7936.58860466,12.143231121
960,7839.41692828,12.257329406
970,8143.8383035,12.37606591
980,7898.52599975,12.491300879
990,7901.45818246,12.609669302
1000,7918.54477599,12.729312207
1010,7876.33880035,12.847641295
1020,7900.3538987,12.974155793
1030,8064.77255218,13.091277298
1040,7882.69632579,13.21208501
1050,7949.58491476,13.334414973
1060,7998.92208594,13.459380148
1070,7888.0389,13.580270821
1080,7908.7476082,13.697378599
1090,7896.47575366,13.825889694
1100,7997.91676878,13.950288754
1110,7889.48008349,14.071613599
1120,7897.61181437,14.197693083
1130,7914.4293783,14.319232055
1140,7887.69285582,14.469581633
1150,7968.54447948,14.649429361
1160,7930.31425146,14.789401743
1170,7876.78215599,14.91286969
1180,7962.91871699,15.040872302
1190,7936.68555127,15.167161939
1200,7973.52326792,15.290690218
1210,8068.17066161,15.407137849
1220,7979.13604851,15.527423427
1230,7923.56225508,15.645519068
1240,8059.74788824,15.763379038
1250,7941.34460725,15.883340108
1260,7972.58960291,16.006060742
1270,7936.68942664,16.122237694
1280,8013.06711465,16.234954042
1290,7895.83186154,16.352457468
1300,8077.24679952,16.474046241
1310,7902.5448007,16.592458656
1320,8064.01588829,16.709113323
1330,8053.13853076,16.827947058
1340,7951.92157996,16.944676273
1350,7923.56225508,17.059512752
1360,7995.77010739,17.173227632
1370,7901.76452685,17.287415422
1380,8088.37454544,17.405756086
1390,7969.92488813,17.532125722
1400,7974.05716262,17.651870298
1410,8055.92044269,17.763321467
1420,7887.67249669,17.889390584
1430,7950.13061575,18.01302788
1440,7919.38936062,18.122688097
1450,7898.15274561,18.235288828
1460,7862.27785775,18.349525703
1470,8008.97921928,18.460776709
1480,7979.30629979,18.570555063
1490,8016.34454312,18.686099284
1500,7897.25952793,18.80995939
1510,8117.04079805,18.923596423
1520,7941.34460725,19.042411148
1530,7934.50613896,19.161679003
1540,7931.13360492,19.277211221
1550,8215.8448404,19.394740738
1560,7970.13485682,19.514178619
1570,7938.0320922,19.63114697
1580,7862.72530944,19.74355216
1590,7816.31851539,19.857170885
1600,7880.4792439,19.971809423
1610,7876.78215599,20.089164226
1620,7876.1928432,20.207820754
1630,8008.24897981,20.322201381
1640,7848.42676324,20.43522463
1650,7919.09368507,20.549655224
1660,7831.35494273,20.672445633
1670,8003.87872964,20.7957367
1680,7965.2834332,20.910942891
1690,8148.01226039,21.043630338
1700,8064.44776409,21.165264662
1710,7988.60987614,21.291225005
1720,7844.98699881,21.410170571
1730,8069.81072638,21.531133043
1740,7908.55573417,21.652389832
1750,7943.81455098,21.772821839
1760,8003.96455208,21.892349699
1770,7852.00181927,22.011968051
1780,7935.03353329,22.127612543
1790,7948.54558095,22.242328226
1800,7861.144305,22.370598586
1810,7936.47958965,22.482566318
1820,7862.83368467,22.603043169
1830,7865.18178283,22.723215725
1840,7939.73650096,22.834047859
1850,7967.01042749,22.953125279
1860,8077.4814034,23.077816459
1870,7927.14328296,23.195673818
1880,7923.9189058,23.319047655
1890,7958.24238313,23.436185148
1900,7947.85902779,23.562834402
1910,7902.11955379,23.677756375
1920,7893.22674176,23.804823925
1930,7900.97948648,23.931078458
1940,7888.63395905,24.049518199
1950,7881.49392684,24.181420734
1960,8073.99995523,24.308181453
1970,7973.83992432,24.475765231
1980,7922.86847247,24.605035598
1990,8096.01301276,24.726469667
2000,7928.13308399,24.849810411
2010,7826.23536394,24.969046596
2020,7870.71199461,25.083986578
2030,8165.45012918,25.226514394
2040,7920.35821506,25.345154309
2050,7950.29473509,25.460869635
2060,7992.58611329,25.577457302
2070,7873.16190698,25.694755999
2080,7841.9240019,25.805495481
2090,7872.51689202,25.922601901
2100,8062.7422765,26.041018171
2110,7801.69824092,26.158660903
2120,7862.27785775,26.281598822
2130,7997.36857768,26.409468793
2140,7993.91614174,26.526433147
2150,7918.34608968,26.63893053
2160,7969.85103724,26.758971514
2170,7984.46152609,26.881728635
2180,7910.3561324,26.993761685
2190,8036.69927771,27.105226415
2200,7939.39178969,27.222190436
2210,7859.31349501,27.331045804
2220,7941.34460725,27.445605134
2230,7906.22732488,27.571788368
2240,7838.05993079,27.705743924
2250,8089.95035773,27.824520698
2260,8003.75030261,27.938744309
2270,7879.92236202,28.051139893
2280,7915.37237052,28.171183794
2290,7923.56225508,28.297070843
2300,7992.69667072,28.420347312
2310,7945.34670285,28.537470897
2320,7846.56640462,28.65659188
2330,7922.22061718,28.771767566
2340,7926.36161956,28.886706458
2350,7897.37906427,29.007966595
2360,7866.77587872,29.123608627
2370,7779.31251433,29.250907341
2380,7877.88128067,29.375414837
2390,7876.78215599,29.501189268
2400,7915.74796939,29.62897623
2410,7941.90104595,29.752239968
2420,7964.58143093,29.877039642
2430,7973.96123008,30.014277965
2440,7941.34460725,30.135625413
2450,7939.84507884,30.250483479
2460,8041.0860298,30.363588688
2470,7992.36496981,30.485995137
2480,7888.40188469,30.604368902
2490,7994.14778813,30.71986638
2500,8045.57949197,30.840793087
2510,7955.50068843,30.971444162
2520,7865.18178283,31.098733477
2530,7973.08673245,31.214861936
2540,8023.03201501,31.336985962
2550,7871.74213808,31.454907633
2560,8074.15270846,31.570096866
2570,7889.31015799,31.683335432
2580,7888.40188469,31.799067743
2590,7886.65495986,31.912496063
2600,8079.24113163,32.039746845
2610,8040.60280581,32.160100437
2620,7919.44217413,32.27502438
2630,7956.45679523,32.395162658
2640,7852.91174297,32.51094379
2650,8023.41409612,32.625189109
2660,8046.88832648,32.747162737
2670,8059.31711957,32.861860968
2680,7826.23536394,32.974938174
2690,7820.32793859,33.093265854
2700,7876.78215599,33.209456845
2710,7979.60193536,33.330330207
2720,7923.56225508,33.449831646
2730,7853.51449014,33.573142662
2740,8132.3710428,33.690075641
2750,7874.71426921,33.811165318
2760,7911.05321938,33.932843319
2770,7941.34460725,34.057135876
2780,7949.78460565,34.179991004
2790,7944.618588,34.298798675
2800,7846.18341129,34.411437134
2810,7870.71199461,34.531928064
2820,7900.95801467,34.642864581
2830,7951.50277147,34.759028092
2840,7922.95068567,34.870658569
2850,8029.80624514,34.989377501
2860,7811.0493635,35.117606922
2870,7869.99225096,35.247711523
2880,7902.38146673,35.356810871
2890,7990.9810337,35.466975435
2900,7993.80046404,35.581861502
2910,7876.78215599,35.719107607
2920,7865.82680232,35.842868355
2930,8029.80601547,35.963558989
2940,7894.14057647,36.087028387
2950,7944.71278776,36.219378433
2960,7888.0389,36.364870711
2970,7845.98610661,36.546879848
2980,7954.24240165,36.669320416
2990,8013.81995236,36.790103888
