iterations,fitness,time
0,2.11099211944e-06,0.117195676001
10,7500.67673094,0.232274956001
20,8381.59972262,0.340839892
30,8720.36809785,0.446873223002
40,8764.56425732,0.550041280003
50,8765.53558523,0.651300738005
60,8771.52618482,0.760030690006
70,8783.00531612,0.859526347005
80,9039.15481719,0.965203112006
90,9039.15481719,1.06549097101
100,9065.93574553,1.16999290001
110,9039.15481719,1.27621988901
120,9063.33417844,1.37717556901
130,9040.59751902,1.478701942
140,9209.43683799,1.58055848
150,9196.5793049,1.681964157
160,9231.39568956,1.788957304
170,9231.39568956,1.896288935
180,9241.86445056,2.004133062
190,9240.70197154,2.10229651001
200,9231.39568956,2.206735009
210,9231.39568956,2.307622177
220,9231.39568956,2.41111183
230,9284.89494491,2.514247313
240,9231.39568956,2.619258444
250,9242.15537187,2.722914894
260,9265.99099371,2.823080639
270,9265.99099371,2.92813272
280,9265.99099371,3.03120336
290,9363.11484172,3.131213697
300,9443.95902441,3.231373358
310,9490.81772374,3.330848638
320,9490.81772374,3.437086373
330,9456.56717556,3.54129981
340,9493.2080939,3.651946033
350,9496.06316057,3.773672901
360,9537.71051912,3.872052688
370,9517.78059596,3.971811678
380,9508.85950076,4.07437604
390,9514.52639471,4.174010702
400,9508.85950076,4.271914666
410,9508.85950076,4.371310205
420,9508.85950076,4.470080147
430,9508.85950076,4.57029181
440,9508.85950076,4.67104368499
450,9508.85950076,4.770162897
460,9508.85950076,4.871745286
470,9508.85950076,4.976413694
480,9508.85950076,5.081524534
490,9508.85950076,5.190763431
500,9508.85950076,5.29049882
510,9508.85950076,5.393949478
520,9519.44717553,5.50366594
530,9586.67522557,5.621219685
540,9551.3506096,5.74924197
550,9560.71744024,5.884582529
560,9560.71744024,5.997524386
570,9560.71744024,6.098135304
580,9565.04033609,6.197932141
590,9560.71744024,6.296481549
600,9560.71744024,6.3949353
610,9560.71744024,6.496497661
620,9560.71744024,6.605369144
630,9560.71744024,6.70326499399
640,9560.71744024,6.80736558099
650,9560.71744024,6.91141453499
660,9560.71744024,7.01526864099
670,9560.71744024,7.11688347999
680,9600.60535207,7.22192857399
690,9560.71744024,7.32060684499
700,9560.77587499,7.42400726099
710,9560.71744024,7.52307894799
720,9560.71744024,7.62688666299
730,9560.71744024,7.73492302399
740,9560.71744024,7.83486240199
750,9560.71744024,7.93473644699
760,9560.71744024,8.03661877799
770,9560.71744024,8.13606662799
780,9560.71744024,8.23602597499
790,9560.71744024,8.33634016399
800,9560.71744024,8.43922717599
810,9567.58892107,8.54271471599
820,9567.83946756,8.66360324999
830,9567.58892107,8.77967004099
840,9578.15970425,8.88527285699
850,9608.61780716,8.98748707599
860,9608.61780716,9.09619054299
870,9608.61780716,9.20102057199
880,9628.82054475,9.30430377599
890,9608.61780716,9.40893700099
900,9608.61780716,9.51179622999
910,9608.61780716,9.61579409399
920,9608.61780716,9.71758948199
930,9812.43693801,9.82149209199
940,9819.94940873,9.92065037399
950,9819.94940873,10.021042689
960,9819.94940873,10.120037914
970,9819.94940873,10.224125045
980,9819.94940873,10.323963901
990,9819.94940873,10.432303342
1000,9859.6189815,10.534009813
1010,9819.94940873,10.638685856
1020,9838.34256971,10.737848313
1030,9838.34256971,10.842771959
1040,9838.34256971,10.943621599
1050,9838.34256971,11.044697263
1060,9838.34256971,11.143632352
1070,9846.59195681,11.252159553
1080,9838.34256971,11.352336318
1090,9838.34256971,11.460424299
1100,9838.34256971,11.564348469
1110,9838.34256971,11.666009889
1120,9838.34256971,11.766260384
1130,9838.34256971,11.862771283
1140,9838.34256971,11.962926434
1150,9838.34256971,12.060710722
1160,9838.34256971,12.168673896
1170,9851.96094939,12.280580888
1180,9841.46719328,12.398588191
1190,9841.46719328,12.499273783
1200,9841.46719328,12.599228608
1210,9841.46719328,12.697960951
1220,9841.46719328,12.803529859
1230,9856.18071816,12.910314912
1240,9860.41833403,13.016012097
1250,9868.71909294,13.116565041
1260,9868.71909294,13.223726111
1270,9933.08375303,13.322518113
1280,9933.08375303,13.422163999
1290,10018.5769538,13.520612727
1300,9933.08375303,13.621213065
1310,9936.20837659,13.725513977
1320,9933.08375303,13.830603924
1330,10042.0415798,13.929810595
1340,10042.0415798,14.040983887
1350,10042.0415798,14.156019176
1360,10085.4636611,14.299809932
1370,10042.0415798,14.401013302
1380,10042.0415798,14.501753056
1390,10042.0415798,14.60472692
1400,10042.0415798,14.708979209
1410,10042.0415798,14.813585765
1420,10042.0415798,14.916203262
1430,10042.0415798,15.016679222
1440,10042.0415798,15.117989206
1450,10042.0415798,15.223608973
1460,10049.1384022,15.326254364
1470,10042.0415798,15.427515683
1480,10042.0415798,15.527989104
1490,10042.0415798,15.628164886
1500,10042.0415798,15.729743647
1510,10042.0415798,15.833864888
1520,10042.0415798,15.937979444
1530,10042.0415798,16.041635663
1540,10042.0415798,16.147462126
1550,10042.0415798,16.257368625
1560,10042.0415798,16.361376199
1570,10042.0415798,16.463346447
1580,10042.0415798,16.564008531
1590,10042.0415798,16.66545273
1600,10042.0415798,16.770344511
1610,10069.4802261,16.874498328
1620,10114.0442101,16.974457968
1630,10042.0415798,17.076733783
1640,10042.0415798,17.189912117
1650,10042.0415798,17.318866753
1660,10042.0415798,17.439979007
1670,10042.0415798,17.542082944
1680,10042.0415798,17.646149152
1690,10042.0415798,17.745434603
1700,10067.6521087,17.852867522
1710,10085.9898697,17.956370838
1720,10088.690475,18.057986616
1730,10088.690475,18.158154989
1740,10090.7597167,18.267677509
1750,10088.690475,18.366934968
1760,10088.690475,18.477660313
1770,10088.690475,18.578113451
1780,10088.690475,18.684699635
1790,10088.690475,18.792678468
1800,10088.690475,18.900886955
1810,10088.690475,19.002990782
1820,10088.690475,19.112600364
1830,10088.690475,19.211069203
1840,10088.690475,19.311956273
1850,10092.0965021,19.415557597
1860,10088.690475,19.516052416
1870,10088.690475,19.618007939
1880,10088.690475,19.721323049
1890,10088.690475,19.822920174
1900,10088.690475,19.926799319
1910,10088.690475,20.04815232
1920,10088.690475,20.16382669
1930,10088.690475,20.283852448
1940,10088.690475,20.38367448
1950,10088.690475,20.485920379
1960,10088.690475,20.584700695
1970,10088.690475,20.689738263
1980,10088.690475,20.837365593
1990,10088.690475,20.951510789
2000,10091.584521,21.048887259
2010,10088.690475,21.163108735
2020,10111.3566146,21.295571709
2030,10088.690475,21.418927719
2040,10088.690475,21.534242187
2050,10088.690475,21.646939428
2060,10088.690475,21.772915305
2070,10088.690475,21.87792928
2080,10088.690475,21.975134106
2090,10090.1901531,22.081406746
2100,10088.690475,22.18421957
2110,10088.690475,22.28866509
2120,10091.8487683,22.390355283
2130,10100.7374236,22.495311202
2140,10157.1503686,22.600581298
2150,10135.8891594,22.718930163
2160,10138.8833893,22.822006575
2170,10138.0959704,22.923202784
2180,10138.0959704,23.026320005
2190,10138.0959704,23.128575537
2200,10138.0959704,23.229192305
2210,10138.0959704,23.332674016
2220,10138.0959704,23.434009179
2230,10138.0959704,23.530599347
2240,10138.0959704,23.637396481
2250,10138.0959704,23.734488435
2260,10138.0959704,23.834449113
2270,10138.0959704,23.933351148
2280,10138.0959704,24.033176723
2290,10138.0959704,24.135384962
2300,10138.0959704,24.23937454
2310,10138.0959704,24.34163275
2320,10138.0959704,24.444306771
2330,10138.0959704,24.541688857
2340,10138.0959704,24.64276371
2350,10138.0959704,24.742750672
2360,10138.0959704,24.844189949
