iterations,fitness,time
0,2.04411597794e-06,0.153394151002
10,5103.95359271,0.305231230002
20,6073.69188262,0.431657750003
30,6844.32814943,0.559674118005
40,7205.1648335,0.683850044006
50,7232.81865905,0.807241432009
60,7277.68915402,0.928657806009
70,7362.84697839,1.05345275701
80,7423.48197384,1.17399835601
90,7583.49869427,1.29529960101
100,7878.49306224,1.41648304401
110,8004.14534375,1.53846812301
120,7957.08871015,1.65602779101
130,7939.39854937,1.77223064001
140,8198.06657946,1.89631907501
150,8257.66377752,2.02194881
160,8396.8532652,2.144366496
170,8380.22086833,2.260265234
180,8546.85774611,2.382551786
190,8730.82103835,2.499537241
200,8707.39568493,2.61937800301
210,8704.24556123,2.73934098101
220,8616.68156497,2.86444033101
230,8663.62082063,3.01272736
240,8855.64642022,3.144042749
250,8673.21887081,3.267310298
260,8631.36864035,3.384393356
270,8750.25654574,3.502290817
280,8713.92084877,3.61734622
290,8671.65474931,3.73172389
300,8681.67896849,3.854098115
310,8743.68092279,3.971249799
320,8748.54715493,4.084976185
330,8683.63362155,4.218246944
340,8671.59323591,4.337165222
350,8693.18858818,4.45046052001
360,8670.65060878,4.569775916
370,8658.87881171,4.68693605
380,8785.37246154,4.808323255
390,8675.76516674,4.927682873
400,8600.41693323,5.046633831
410,8731.06880394,5.163746399
420,8655.76230634,5.289180737
430,8740.77875088,5.4090765
440,8818.19947265,5.528431004
450,8819.96675204,5.650415395
460,8818.54098726,5.766225484
470,8740.5687871,5.884813517
480,8705.70192416,5.995742197
490,8840.81235632,6.118741184
500,8768.32171696,6.231785235
510,8594.86602062,6.34952564
520,8835.25778808,6.485405032
530,8763.79083209,6.604103582
540,8914.05249265,6.720840113
550,8669.9183441,6.836863974
560,8782.73804615,6.950308037
570,8650.40641404,7.067880214
580,8800.24814659,7.18281391099
590,8832.97452708,7.30381381999
600,8814.75610537,7.45586665999
610,8765.5202067,7.58457390099
620,8809.66937583,7.69815753699
630,8873.16096996,7.81494388099
640,8868.8756361,7.93125074499
650,8779.11563095,8.04717249898
660,8780.53262512,8.16422535998
670,8801.86403487,8.27938997598
680,8760.23018197,8.39474446498
690,8855.21065789,8.51059527398
700,8948.95652587,8.62871175898
710,8940.73746444,8.74771588298
720,8864.57908119,8.86703357898
730,8658.96153585,8.98477488198
740,8838.49867051,9.10885504098
750,8817.98175922,9.22035024198
760,8839.88945007,9.33748131298
770,8723.2294697,9.45839547798
780,8817.42022214,9.57410523698
790,8854.33957058,9.69264456198
800,8806.5533521,9.81072104298
810,8769.10035374,9.92459139698
820,8815.14871619,10.048034717
830,8754.32506324,10.160794358
840,8779.78438838,10.279649869
850,8886.47465889,10.399325005
860,8770.2910351,10.519795448
870,8908.4491553,10.6399859
880,8868.52659023,10.760103331
890,8868.74419815,10.876955603
900,8929.5047693,10.993661784
910,8906.58277411,11.109628559
920,8852.40136351,11.224471421
930,8943.18667704,11.345243089
940,8927.39522948,11.462379267
950,8899.684913,11.588246742
960,8894.61367736,11.70719193
970,8860.617413,11.82962835
980,8793.28214561,11.949355897
990,8876.86926093,12.067747989
1000,9019.77135793,12.183555712
1010,8785.27311876,12.300898071
1020,8944.76124762,12.417187639
1030,8933.00000768,12.534516074
1040,8964.74821279,12.649602811
1050,8819.64815351,12.764305758
1060,8992.56111567,12.879486363
1070,8955.31182365,13.000253798
1080,8853.44994392,13.11745991
1090,8957.97359569,13.233985122
1100,8873.23107668,13.347237318
1110,9043.4094277,13.469230251
1120,8893.35039999,13.588899452
1130,8913.80451164,13.703457119
1140,9151.20975815,13.822527677
1150,8952.22212411,13.937942364
1160,9072.51255244,14.058422652
1170,8959.07450105,14.180492356
1180,8940.21921777,14.295702433
1190,8907.24323668,14.414732695
1200,8918.41097103,14.538396932
1210,8947.55035592,14.653924007
1220,8938.87483474,14.773547663
1230,8993.13169718,14.888590873
1240,9109.2999815,15.006553996
1250,8929.38225971,15.121705556
1260,8986.00817959,15.241406484
1270,8885.69846685,15.355153859
1280,9009.65180744,15.469376265
1290,8983.46585526,15.585995213
1300,9066.25011992,15.705272741
1310,8968.58708266,15.819675697
1320,8938.11086451,15.941314891
1330,8938.81226482,16.063079187
1340,8966.58844179,16.17940837
1350,9009.35398817,16.293245861
1360,8925.93495208,16.407572405
1370,8909.08072554,16.519263402
1380,8894.10103248,16.640966812
1390,8919.13813049,16.755197136
1400,8806.62764449,16.870634169
1410,8940.15146899,16.986890179
1420,8954.64706794,17.103658118
1430,8968.88823232,17.219229886
1440,8987.948371,17.333693059
1450,9039.83462323,17.448764209
1460,8906.39072541,17.563186583
1470,8805.85246911,17.680962891
1480,8962.87466261,17.796393799
1490,8903.94833639,17.914236969
1500,8967.22468729,18.029031085
1510,8914.4590434,18.146002808
1520,8912.08691551,18.258469239
1530,8967.85962783,18.398947662
1540,8951.55407229,18.519037663
1550,8866.90262253,18.64087545
1560,9022.24586583,18.772663531
1570,9022.53395296,18.900707323
1580,9021.13276009,19.028928013
1590,8974.86538287,19.155627654
1600,9034.59361733,19.280063283
1610,8835.63926404,19.404181831
1620,9009.35398817,19.523519892
1630,8946.80068957,19.642479706
1640,8948.07061827,19.757937062
1650,8968.04487825,19.875145198
1660,8936.34578181,19.99596802
1670,8967.70860341,20.12093513
1680,8971.50564307,20.238557477
1690,8903.48416676,20.354901519
1700,8845.32610213,20.475905286
1710,8934.24032556,20.586327643
1720,8915.96233249,20.706845067
1730,8948.33938542,20.824443739
1740,9024.0675399,20.949004845
1750,8951.36045003,21.068328132
1760,8920.91125641,21.183802819
1770,9050.88612875,21.29897786
1780,8960.25952156,21.417258118
1790,8942.80078825,21.533817054
1800,8927.28793232,21.64728518
1810,8900.01119703,21.760716908
1820,8954.79906472,21.882291419
