iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.128997003192,0.123493861695,0.656,0.676,0.002371511
10,0.0529322430916,0.0515074607874,0.852,0.868,0.027410442
20,0.0396730770271,0.0420551157377,0.897333333333,0.908,0.051250615
30,0.0341856028705,0.0392344164646,0.909333333333,0.904,0.075967436
40,0.0293352398023,0.0381407956536,0.918666666667,0.904,0.099626078
50,0.0264488383765,0.0391828258231,0.933333333333,0.908,0.122875728
60,0.024676488914,0.0392054860634,0.934666666667,0.908,0.147946347
70,0.0232107865458,0.0406243760012,0.937333333333,0.904,0.171226948
80,0.0214441185895,0.0399677831013,0.946666666667,0.904,0.196890152
90,0.0209454125605,0.0417788650228,0.952,0.904,0.220363568
100,0.0204777934008,0.0413107929407,0.949333333333,0.904,0.247327096
110,0.018916628963,0.0436609154957,0.950666666667,0.904,0.27280685
120,0.0185632450854,0.04719088654,0.950666666667,0.892,0.296812667
130,0.0190897587657,0.048903018585,0.944,0.884,0.321502545
140,0.0168375005243,0.0491942338909,0.953333333333,0.88,0.346873333
150,0.0153579083539,0.0527240888875,0.954666666667,0.876,0.373666165
160,0.0147301043153,0.0521294094405,0.96,0.876,0.397317544
170,0.0140583205207,0.0512558564405,0.965333333333,0.872,0.424956227
180,0.0133530924739,0.0508189202474,0.968,0.876,0.448753698
190,0.0121886336212,0.0520944165708,0.969333333333,0.876,0.472461344
200,0.0118876433503,0.0523611141689,0.970666666667,0.868,0.496561649
210,0.0117349076739,0.0552924215301,0.966666666667,0.868,0.520010071
220,0.0113029010808,0.055527999549,0.968,0.868,0.544369403
230,0.0109420532566,0.0570531552293,0.969333333333,0.868,0.56804095
240,0.0106179450084,0.0582133432112,0.969333333333,0.868,0.592749952
250,0.0100617719085,0.0584022129184,0.968,0.868,0.616102301
260,0.00989052553641,0.057619151717,0.969333333333,0.876,0.639429108
270,0.00977941398199,0.0581146239022,0.969333333333,0.868,0.663438063
280,0.00931538633559,0.0587572857023,0.973333333333,0.872,0.687023557
290,0.00928316082767,0.0589068836063,0.973333333333,0.86,0.71212221
300,0.00890598614605,0.0597966872003,0.977333333333,0.864,0.736469831
310,0.00856448265569,0.0567306532713,0.977333333333,0.872,0.761086551
320,0.00821008212215,0.0568398360387,0.977333333333,0.868,0.785808271
330,0.00795396025295,0.0568241717258,0.973333333333,0.868,0.809398352
340,0.00767714634418,0.0555685843324,0.976,0.876,0.833537026
350,0.007587629393,0.0551216337201,0.978666666667,0.876,0.857096409
360,0.00765019021923,0.0545059775169,0.973333333333,0.884,0.881503773
370,0.00734697764514,0.0547535729519,0.978666666667,0.884,0.905844059
380,0.00719025303334,0.0553681394625,0.978666666667,0.876,0.930304531
390,0.00744422461661,0.0554222897864,0.98,0.872,0.954208333
400,0.00737188157537,0.056049827066,0.98,0.872,0.977805779
410,0.00728832180331,0.0557746097182,0.978666666667,0.876,1.002629507
420,0.00758139923849,0.0557635353099,0.978666666667,0.876,1.026293376
430,0.00738894620427,0.0566120138995,0.976,0.876,1.052134132
440,0.00696954697227,0.0577117528095,0.978666666667,0.876,1.077120397
450,0.00678427493754,0.0596550078464,0.978666666667,0.868,1.101672708
460,0.00658210882685,0.0601429500683,0.982666666667,0.864,1.125899031
470,0.00637897385399,0.0611251903429,0.982666666667,0.864,1.150590412
480,0.00627302949045,0.0617133732693,0.981333333333,0.856,1.174913002
490,0.00651065744576,0.0614119468733,0.98,0.86,1.198340975
500,0.00629605888428,0.0619784919983,0.981333333333,0.86,1.22371307
510,0.00603408513543,0.0627716058028,0.984,0.86,1.248144038
520,0.00593580414073,0.0610339186864,0.984,0.864,1.272546222
530,0.00584304922288,0.0605535495343,0.984,0.868,1.295615271
540,0.00578635927256,0.0602816819848,0.985333333333,0.868,1.319082836
550,0.00570788285974,0.0596807106531,0.984,0.876,1.342948913
560,0.00562265844556,0.058773372628,0.985333333333,0.876,1.366452294
570,0.00553682137133,0.0583580231334,0.985333333333,0.876,1.391613247
580,0.00545731526904,0.0595426909479,0.986666666667,0.864,1.414870367
590,0.00539209655022,0.0591997148851,0.986666666667,0.868,1.439864855
600,0.00528818445259,0.0596179524312,0.988,0.868,1.464713487
610,0.00521699981274,0.0592624830209,0.986666666667,0.876,1.487880909
620,0.00513451860452,0.0594956498633,0.986666666667,0.868,1.512169624
630,0.00496892528609,0.0596970790021,0.988,0.872,1.536626291
640,0.00471674527896,0.0594800822698,0.988,0.868,1.561697591
650,0.00446410411355,0.0588438456865,0.988,0.864,1.584969561
660,0.00430415018367,0.0617299663157,0.988,0.86,1.608568966
670,0.00422308334709,0.0651763115733,0.988,0.852,1.632426796
680,0.00414263840282,0.0668613520612,0.989333333333,0.852,1.658067431
690,0.0041047271075,0.0671569845689,0.990666666667,0.856,1.682746235
700,0.00407516467753,0.0672520266816,0.989333333333,0.856,1.70751761
710,0.00404551861363,0.0669585492415,0.989333333333,0.856,1.733048341
720,0.00399765244567,0.0669796560299,0.989333333333,0.856,1.756763087
730,0.00391751809502,0.0675521498226,0.989333333333,0.848,1.781417821
740,0.0038436724414,0.0680977190134,0.989333333333,0.848,1.805642813
750,0.00373646324711,0.068041823094,0.990666666667,0.852,1.830554579
760,0.00348941924021,0.0683142785008,0.990666666667,0.848,1.854410029
770,0.00340976408829,0.0692632733589,0.990666666667,0.848,1.8777467
780,0.00333793589489,0.0694038075696,0.990666666667,0.848,1.902200325
790,0.0032592147048,0.0695735062008,0.992,0.848,1.925705926
800,0.00317527781451,0.0694466926183,0.993333333333,0.848,1.950459095
810,0.00299115199856,0.0703023225368,0.993333333333,0.848,1.97367468
820,0.00283753715375,0.071265297925,0.993333333333,0.848,1.996977246
830,0.0027765954343,0.0712962553415,0.993333333333,0.848,2.021766842
840,0.00268275123368,0.0701181274656,0.993333333333,0.848,2.04820862
850,0.00319191913584,0.0685903137428,0.992,0.852,2.073557751
860,0.00310859611123,0.0685977499726,0.992,0.852,2.096882321
870,0.00301674248833,0.0684210130362,0.992,0.848,2.121055501
880,0.00291772167706,0.0682189143755,0.992,0.852,2.144908284
890,0.00279833337282,0.069469477308,0.992,0.848,2.172205939
900,0.00275023243652,0.0696195183891,0.992,0.848,2.196231731
910,0.00263682916549,0.0698081820587,0.992,0.848,2.219490999
920,0.00252121221687,0.071142634467,0.992,0.844,2.243581257
930,0.00249578190238,0.0715261510118,0.992,0.844,2.266555548
940,0.00240696674428,0.0721715005473,0.992,0.844,2.290703595
950,0.00234761789014,0.0718464992,0.992,0.844,2.314743781
960,0.00230014812681,0.0727495384868,0.992,0.84,2.339352124
970,0.00223930434123,0.0728507753032,0.993333333333,0.84,2.363224905
980,0.00218039035638,0.0739012148968,0.994666666667,0.836,2.386886923
990,0.00214179824908,0.075194567331,0.996,0.832,2.411324387
1000,0.00210526880385,0.0751885505649,0.994666666667,0.832,2.435079809
1010,0.00203466484216,0.0752312278365,0.997333333333,0.832,2.458673068
1020,0.00198738753545,0.0750174882752,0.997333333333,0.836,2.483040349
1030,0.00195846074213,0.0745553419797,0.997333333333,0.836,2.506913116
1040,0.00190076004513,0.0736501661244,0.997333333333,0.84,2.531612483
1050,0.00187477637966,0.0735468926584,0.996,0.84,2.555383189
1060,0.00183563248238,0.074552855954,0.997333333333,0.836,2.579243375
1070,0.00181094880586,0.0745208907228,0.996,0.836,2.603613163
1080,0.00177347938949,0.0754026109526,0.997333333333,0.836,2.627555503
1090,0.00173509392317,0.0750171537986,0.997333333333,0.836,2.653411868
1100,0.00172286810302,0.0750120196809,0.997333333333,0.836,2.677224951
1110,0.00169162246481,0.0758656836598,0.997333333333,0.836,2.70194841
1120,0.00165497912028,0.0760372911371,0.997333333333,0.832,2.726014039
1130,0.00163756140517,0.0763198525813,0.997333333333,0.832,2.750017015
1140,0.00159946667296,0.0770949744743,0.997333333333,0.832,2.774000065
1150,0.00156642062011,0.0773383960198,0.997333333333,0.832,2.800204473
1160,0.00154716696944,0.0773528397376,0.997333333333,0.832,2.824677225
1170,0.00152078376793,0.0773470207634,0.997333333333,0.832,2.84849564
1180,0.00150125765097,0.0773233860437,0.997333333333,0.832,2.873183205
1190,0.0014687045014,0.0774177761723,0.997333333333,0.832,2.896505477
1200,0.00144739121322,0.0769171052754,0.997333333333,0.832,2.920227996
1210,0.00143838278685,0.0770887250505,0.997333333333,0.832,2.94419135
1220,0.00141230050489,0.0764426568487,0.997333333333,0.836,2.968141617
1230,0.00139278147224,0.0762561376158,0.997333333333,0.836,2.994368771
1240,0.00137132568846,0.0761104548903,0.997333333333,0.836,3.017545547
1250,0.00135520411432,0.0758877682684,0.997333333333,0.836,3.043686948
1260,0.00133812035941,0.0755334232479,0.997333333333,0.84,3.067740123
1270,0.00131487138877,0.0755113527991,0.997333333333,0.84,3.097145238
1280,0.00130547034699,0.0763680195909,0.997333333333,0.836,3.120718321
1290,0.00128587978054,0.0760026378281,0.997333333333,0.84,3.14439335
1300,0.00126968242763,0.076410107866,0.997333333333,0.836,3.169053455
1310,0.00125477225673,0.077227510976,0.997333333333,0.836,3.192320185
1320,0.00122348519087,0.0775020067018,0.997333333333,0.836,3.216815102
1330,0.00116483575725,0.0779342395651,0.997333333333,0.836,3.239980722
1340,0.00109517792988,0.0792194159982,0.997333333333,0.836,3.264062438
1350,0.000933119110711,0.0804408181337,0.998666666667,0.832,3.291248797
1360,0.000800937153595,0.0807561472969,0.998666666667,0.836,3.315604322
1370,0.000784108389889,0.0800397833448,0.998666666667,0.84,3.340917746
1380,0.000777185998296,0.0801190994276,0.998666666667,0.84,3.364502455
1390,0.000768189157466,0.0799177653872,0.998666666667,0.84,3.38945194
1400,0.000763093543187,0.0794348030951,0.998666666667,0.84,3.413295725
1410,0.000755481750544,0.0791998663793,0.998666666667,0.84,3.437133764
1420,0.000754272434202,0.0793515136549,0.998666666667,0.836,3.461271368
1430,0.000732788340024,0.0791227249767,0.998666666667,0.844,3.488282209
1440,0.000723602935206,0.0792825716603,0.998666666667,0.84,3.5129658
1450,0.000722063605952,0.079583318245,0.998666666667,0.84,3.536637639
1460,0.000732145525653,0.0800155112682,0.998666666667,0.836,3.560057196
1470,0.000707256536613,0.0798903469031,0.998666666667,0.84,3.583978539
1480,0.000708897657874,0.0804110138566,0.998666666667,0.836,3.607657806
1490,0.000697931431866,0.0807975864539,0.998666666667,0.832,3.632611516
1500,0.000694067497785,0.081774668267,0.998666666667,0.832,3.65887167
1510,0.000689043227801,0.0816812129684,0.998666666667,0.832,3.683517607
1520,0.000678983897389,0.080424967766,0.998666666667,0.836,3.710803297
1530,0.000681348892573,0.0807673650134,0.998666666667,0.832,3.734461261
1540,0.000677447292719,0.0824053599027,0.998666666667,0.828,3.760329395
1550,0.000671110766216,0.0832405422613,0.998666666667,0.828,3.783720689
1560,0.000672656830058,0.0831973412602,0.998666666667,0.828,3.808671498
1570,0.000666034714201,0.0824147163668,0.998666666667,0.828,3.831976259
1580,0.00066361969688,0.0812849012498,0.998666666667,0.832,3.856473905
1590,0.000662937142648,0.0808854096449,0.998666666667,0.832,3.880040444
1600,0.000659845948306,0.0811840628867,0.998666666667,0.832,3.903370722
1610,0.000657186738408,0.0815886984601,0.998666666667,0.832,3.927769669
1620,0.000658284918975,0.0820203322378,0.998666666667,0.832,3.951283565
1630,0.000654405046031,0.082253254761,0.998666666667,0.832,3.976179122
1640,0.000653776069723,0.0824340222798,0.998666666667,0.828,3.999789757
1650,0.000652525798553,0.0824894747386,0.998666666667,0.828,4.023739677
1660,0.00065083532205,0.0826184314648,0.998666666667,0.824,4.0488667
1670,0.000649501624704,0.0823647857198,0.998666666667,0.824,4.072625321
1680,0.000648692498731,0.0814057668973,0.998666666667,0.828,4.096146786
1690,0.000647471304424,0.0819818261403,0.998666666667,0.828,4.119790692
1700,0.000645903189752,0.0830907476078,0.998666666667,0.824,4.144599565
1710,0.000646239886014,0.0831909956336,0.998666666667,0.824,4.169302312
1720,0.00064336040977,0.0829415426918,0.998666666667,0.824,4.193354125
1730,0.000646221346186,0.0827614581284,0.998666666667,0.824,4.218087418
1740,0.000641544974292,0.0827789143855,0.998666666667,0.824,4.241394243
1750,0.00064324295609,0.0839357024486,0.998666666667,0.82,4.265803115
1760,0.000645429126064,0.0839487117336,0.998666666667,0.82,4.289035713
1770,0.000640025038275,0.083605439099,0.998666666667,0.82,4.312989204
1780,0.000638062917107,0.0865227460384,0.998666666667,0.816,4.337347654
1790,0.000631401204791,0.0859416066564,0.998666666667,0.824,4.360894928
