,test_acc_uniform,test_acc_distance
1,0.5781666666666667,0.3516666666666667
2,0.5565,0.3516666666666667
3,0.5905,0.48833333333333334
4,0.5893333333333334,0.4655
5,0.6066666666666667,0.42716666666666664
6,0.604,0.4013333333333333
7,0.6121666666666666,0.39966666666666667
8,0.6151666666666666,0.42816666666666664
9,0.6163333333333333,0.4711666666666667
10,0.626,0.48333333333333334
11,0.6255,0.4915
12,0.6283333333333333,0.49183333333333334
13,0.6275,0.49416666666666664
14,0.6261666666666666,0.4865
15,0.6293333333333333,0.4725
16,0.6286666666666667,0.4711666666666667
17,0.6266666666666667,0.4598333333333333
18,0.6226666666666667,0.45766666666666667
19,0.6276666666666667,0.462
20,0.6296666666666667,0.4615
21,0.6293333333333333,0.45866666666666667
22,0.6303333333333333,0.4595
23,0.6321666666666667,0.4618333333333333
24,0.6326666666666667,0.45966666666666667
25,0.6323333333333333,0.4598333333333333
26,0.6308333333333334,0.45366666666666666
27,0.6291666666666667,0.44816666666666666
28,0.6291666666666667,0.44316666666666665
29,0.6253333333333333,0.4405
30,0.627,0.43316666666666664
31,0.6246666666666667,0.43066666666666664
32,0.6261666666666666,0.42633333333333334
33,0.6295,0.421
34,0.627,0.419
35,0.628,0.4191666666666667
36,0.6258333333333334,0.4176666666666667
37,0.6226666666666667,0.415
38,0.627,0.415
39,0.6255,0.41233333333333333
40,0.6255,0.4125
41,0.6236666666666667,0.4126666666666667
42,0.6278333333333334,0.41433333333333333
43,0.6266666666666667,0.4135
44,0.623,0.41433333333333333
45,0.6236666666666667,0.4145
46,0.625,0.4131666666666667
47,0.627,0.413
48,0.6263333333333333,0.41183333333333333
49,0.628,0.4126666666666667
