,acc,std
0.0078125,0.6185664440470956,0.012223832527141027
0.03125,0.6803327825816229,0.012395272504953644
0.125,0.7266664311975105,0.015346217838224105
0.25,0.7398993101718082,0.013086803350017396
0.5,0.7476661664646665,0.009663824452463042
4.0,0.7551327228574841,0.013439001087577264
8.0,0.7515327448722569,0.015048175676567133
32.0,0.7381663102830677,0.015530898094855713
128.0,0.7213332199494351,0.014629344055319888
512.0,0.7116667302010992,0.015060635155558898
