,train_gini,test_gini,train_entropy,test_entropy
1,0.9999583333333333,0.732,0.9999583333333333,0.7365
2,0.9530416666666667,0.7235,0.9662916666666667,0.7298333333333333
3,0.927875,0.732,0.9438333333333333,0.734
4,0.9058333333333334,0.7348333333333333,0.9200833333333334,0.7323333333333333
5,0.8923333333333333,0.7478333333333333,0.904375,0.7395
6,0.881375,0.7443333333333333,0.8900416666666666,0.7431666666666666
7,0.8702083333333334,0.7488333333333334,0.8799166666666667,0.7436666666666667
8,0.8617083333333333,0.7521666666666667,0.8719166666666667,0.7436666666666667
9,0.8545833333333334,0.75,0.8649583333333334,0.7455
10,0.8487083333333333,0.7536666666666667,0.8587916666666666,0.7493333333333333
11,0.8449166666666666,0.7513333333333333,0.85275,0.7478333333333333
12,0.8407083333333333,0.7526666666666667,0.8459583333333334,0.752
13,0.8365,0.7555,0.8414166666666667,0.7523333333333333
14,0.8325833333333333,0.7563333333333333,0.8382083333333333,0.7558333333333334
15,0.8304583333333333,0.758,0.83375,0.7533333333333333
16,0.8281666666666667,0.7615,0.8299583333333334,0.7538333333333334
17,0.8247916666666667,0.7601666666666667,0.82725,0.7536666666666667
18,0.822375,0.7605,0.823375,0.7595
19,0.8212916666666666,0.7615,0.8199583333333333,0.7571666666666667
20,0.8191666666666667,0.7643333333333333,0.8188333333333333,0.7573333333333333
21,0.8166666666666667,0.763,0.8178333333333333,0.7598333333333334
22,0.815,0.7601666666666667,0.8152083333333333,0.7636666666666667
23,0.813375,0.7608333333333334,0.8134166666666667,0.7631666666666667
24,0.8122916666666666,0.7615,0.8125,0.7585
25,0.8117083333333334,0.7601666666666667,0.8096666666666666,0.7566666666666667
26,0.8103333333333333,0.7638333333333334,0.8082916666666666,0.7573333333333333
27,0.8083333333333333,0.7638333333333334,0.806875,0.7575
28,0.8069583333333333,0.7636666666666667,0.805375,0.755
29,0.80475,0.7673333333333333,0.8035833333333333,0.758
30,0.8045,0.767,0.8025,0.7608333333333334
