iterations,fitness,time
0,1.41598022856e-06,0.001010205
10,1.47011431003e-06,0.00193081
20,1.52967511305e-06,0.002885723
30,1.54299949381e-06,0.004414243
40,1.62947989254e-06,0.005528414
50,1.67030293318e-06,0.006643311
60,1.73270607622e-06,0.007861669
70,1.70405799281e-06,0.008909542
80,1.7162083723e-06,0.009941528
90,1.73740042852e-06,0.011050091
100,1.73740042852e-06,0.012316458
110,1.73919728818e-06,0.013301092
120,1.76693594404e-06,0.014234946
130,1.797855848e-06,0.015168452
140,1.81617819115e-06,0.01615692
150,1.78551232507e-06,0.017100172
160,1.79642879865e-06,0.019114471
170,1.78293813393e-06,0.020053661
180,1.79498365584e-06,0.021225832
190,1.82708515771e-06,0.022421421
