iterations,fitness,time
0,1.37184301555e-06,0.001010211
10,1.4795203984e-06,0.002042832
20,1.53412184876e-06,0.003383442
30,1.48637004323e-06,0.004471413
40,1.50212818149e-06,0.005693848
50,1.49561440533e-06,0.006608113
60,1.50620963435e-06,0.007566698
70,1.54482937516e-06,0.008871484
80,1.4854345441e-06,0.01048185
90,1.54221304007e-06,0.011423809
100,1.58536823606e-06,0.01225699
110,1.60180148692e-06,0.013760245
120,1.63435598546e-06,0.014828245
130,1.70398783408e-06,0.016107096
140,1.72163851686e-06,0.017098778
150,1.7604557352e-06,0.018624432
160,1.7613663554e-06,0.019825239
170,1.77943430818e-06,0.021265678
180,1.76636382837e-06,0.022399465
190,1.79971963313e-06,0.024070233
